Route,Yield,Seats,Lcl_Percent,Lcl_Fare,Miles,market_share_seats,number_of_airline,number_of_LCC
CLT-DCA,34.66103445,266.4932065,19.77420626,212.3134541,330,0.25,1,0
CLT-DCA,34.92938039,271.7540761,27.55133608,187.5405227,330,0.25,1,0
CLT-DCA,33.39781413,266.3379121,25.70552526,180.5432585,330,0.25,1,0
CLT-DCA,37.50339369,285.0425824,25.69383412,214.1125916,330,0.25,1,0
CLT-DCA,35.9596482,277.1752717,21.43101073,223.8043549,330,0.25,1,0
CLT-DCA,35.59354669,273.6902174,23.93373303,199.3003485,330,0.25,1,0
CLT-DCA,36.85513142,363.9611111,25.00464955,201.4752963,330,0.333333333,1,0
CLT-DCA,41.18949557,385.2692308,29.01953551,215.2102051,330,0.333333333,1,0
CLT-DCA,37.22158534,385.1594203,27.99296574,196.6189467,330,0.333333333,1,0
CLT-DCA,35.35607536,591.8505435,29.90846393,183.5528652,330,0.5,1,0
CLT-DCA,35.7619513,574.4833333,26.86638705,197.3492826,330,0.5,1,0
CLT-DCA,41.21975696,361.540293,30.05293795,199.2584455,330,0.333333333,1,0
CLT-DCA,37.74134863,360.9782609,27.30022443,189.1866831,330,0.333333333,1,0
CLT-DCA,38.55683198,366.4855072,27.40845147,192.7250325,330,0.333333333,1,0
CLT-DCA,37.8305033,365.1925926,26.32543793,191.1996729,330,0.333333333,1,0
CLT-DCA,41.2609711,365.3003663,27.54187524,212.2594768,330,0.333333333,1,0
CLT-DCA,39.33954575,580.8451087,28.50567841,205.8055488,330,0.5,1,0
CLT-DCA,39.113898,614.3179348,32.28501466,184.2135562,330,0.5,1,0
CLT-DCA,35.00985242,554.6346154,27.39119728,189.9927618,330,0.5,1,0
CLT-DCA,18.57347497,316.8681319,17.44976584,80.75081921,330,0.5,1,0
CLT-DCA,18.93668217,870.3913043,18.41296228,96.50298295,330,1,1,0
CLT-DCA,20.45134184,787.6032609,18.52553581,95,330,1,1,0
CLT-DCA,22.60406757,235.5759259,17.53708329,107.0983436,330,0.333333333,1,0
CLT-DCA,29.49395794,313.6630037,23.67476004,156.6948857,330,0.333333333,1,0
CLT-DCA,30.01144379,321.9402174,26.07138964,145.5641416,330,0.333333333,1,0
CLT-DCA,30.74121647,325.0434783,31.66809963,140.4286885,330,0.333333333,1,0
CLT-DCA,29.87477876,463.8138889,36.15428431,131.8684949,330,0.5,1,0
CLT-DCA,35.63799089,548.2774725,33.87670285,153.9111726,330,0.5,1,0
CLT-DCA,34.68155957,550.2934783,31.40279216,153.9823098,330,0.5,1,0
CLT-DCA,39.69183574,596.2771739,31.93472449,178.1828132,330,0.5,1,0
CLT-DCA,37.4464055,594.275,30.34763681,173.5269993,330,0.5,1,0
CLT-DCA,41.74671066,559.1730769,35.74452759,195.8505474,330,0.5,1,0
CLT-DCA,37.99688571,534.6277174,33.65050316,179.7633056,330,0.5,1,0
CLT-DCA,38.4754682,616.8478261,33.11645146,185.6873495,330,0.5,1,0
CLT-DCA,38.26437812,606.9423077,29.07903079,198.9409594,330,0.5,1,0
CLT-DFW,19.05004051,620.5604396,28.33830735,286.0067226,937,0.56001428,2,0
CLT-DFW,17.12891508,701.3131868,26.70780739,265.9958686,937,0.58345523,2,0
CLT-DFW,18.30285587,790.0163043,28.14265975,286.9910379,937,0.6055631,2,0
CLT-DFW,18.51742482,687.9130435,34.84798858,261.016541,937,0.581207727,2,0
CLT-DFW,19.85058698,676.8833333,30.32520897,302,937,0.566590246,2,0
CLT-DFW,16.43678031,778.0824176,30.13778256,246,937,0.611544159,2,0
CLT-DFW,14.19311139,772.125,26.38897096,235.0210925,937,0.629328904,2,0
CLT-DFW,14.56804232,632.8206522,31.42214099,198.5127826,937,0.589597395,2,0
CLT-DFW,16.70617528,548.3333333,30.85834464,248.014745,937,0.565551226,2,0
CLT-DFW,14.94073352,661.3681319,32.03578592,205.4986683,937,0.598335761,2,0
CLT-DFW,15.90079093,658.1086957,37.92237252,212.5023972,937,0.606418141,2,0
CLT-DFW,14.61898552,617.8532609,35.87943789,200.4673283,937,0.627556512,2,0
CLT-DFW,16.54173185,603.9222222,35.0516562,237.9960275,937,0.617321529,2,0
CLT-DFW,13.92160828,712.7967033,33.68075712,199.5181768,937,0.631238596,2,0
CLT-DFW,14.08398816,683.3152174,34.80256517,206.9174228,937,0.60467465,2,0
CLT-DFW,14.35243549,610.1902174,43.23608659,176.4823206,937,0.562190176,2,0
CLT-DFW,15.10101496,578.1758242,35.72263612,216.4965102,937,0.552099729,2,0
CLT-DFW,13.660619,518.8186813,33.5623113,207.4993441,937,0.52019921,2,0
CLT-DFW,13.82286843,448.6684783,31.78598628,215.5337954,937,0.465274216,2,0
CLT-DFW,13.18040247,473.2336957,32.59033036,202,937,0.423462986,2,0
CLT-DFW,12.75227962,469.0277778,31.1880934,188.4888601,937,0.401796125,2,0
CLT-DFW,12.21941057,552.2527473,33.9454364,159.487631,937,0.45110386,2,0
CLT-DFW,12.11323571,675.548913,36.89335629,149.0020372,937,0.51822097,2,0
CLT-DFW,12.75369999,512.0434783,41.20564075,153.5021689,937,0.48516432,2,0
CLT-DFW,13.87406617,517.5555556,40.0441485,175,937,0.515522107,2,0
