Carrier,Destination,Delay,Departure delay,Taxi-Out time,Taxi-in time,OnAir,Power,MaxSpeed,age,Fuelseat,Fuelburn,Seats,Week
AA,CLT,0,47,12,8,65,23500,514,26,2.95,2.93,124,1
AA,CLT,0,25,13,6,73,23500,514,26,2.95,2.93,124,0
AA,CLT,0,47,17,3,59,23500,514,26,2.95,2.93,124,1
AA,MIA,9,6,16,14,148,23500,514,26,2.95,2.93,124,0
AA,CLT,1,45,11,15,70,23500,514,26,2.95,2.93,124,1
AA,MIA,42,6,10,4,197,23500,514,26,2.95,2.93,124,1
AA,CLT,54,21,80,13,56,23500,514,26,2.95,2.93,124,0
AA,CLT,21,5,44,9,60,23500,514,26,2.95,2.93,124,0
AA,CLT,0,39,14,6,54,23500,514,26,2.95,2.93,124,0
AA,CLT,7,129,34,10,64,23500,514,26,2.95,2.93,124,1
AA,CLT,0,47,16,7,59,23500,514,26,2.95,2.93,124,1
AA,CLT,5,24,9,12,79,23500,514,26,2.95,2.93,124,1
AA,CLT,54,86,27,30,74,23500,514,26,2.95,2.93,124,1
AA,CLT,9,15,12,27,65,23500,514,26,2.95,2.93,124,1
AA,CLT,8,74,15,27,61,23500,514,26,2.95,2.93,124,1
AA,CLT,0,34,12,7,59,23500,514,26,2.95,2.93,124,1
AA,CLT,13,103,22,7,61,23500,514,26,2.95,2.93,124,1
AA,CLT,0,37,13,8,61,23500,514,26,2.95,2.93,124,1
AA,CLT,5,26,13,13,74,23500,514,26,2.95,2.93,124,0
AA,CLT,0,60,9,4,69,23500,514,26,2.95,2.93,124,0
AA,CLT,11,44,12,23,71,23500,514,26,2.95,2.93,124,0
AA,CLT,23,46,34,8,76,23500,514,26,2.95,2.93,124,0
AA,CLT,0,74,13,9,62,23500,514,26,2.95,2.93,124,1
AA,CLT,0,42,13,2,73,23500,514,26,2.95,2.93,124,1
AA,CLT,0,75,11,9,68,23500,514,26,2.95,2.93,124,1
AA,CLT,0,75,16,10,64,23500,514,26,2.95,2.93,124,1
AA,CLT,14,9,31,5,78,23500,514,26,2.95,2.93,124,0
AA,CLT,10,52,31,9,65,23500,514,26,2.95,2.93,124,0
AA,CLT,0,69,12,9,65,23500,514,26,2.95,2.93,124,0
AA,CLT,10,783,27,6,72,23500,514,26,2.95,2.93,124,1
AA,CLT,42,4,39,5,98,23500,514,26,2.95,2.93,124,1
AA,CLT,0,54,24,10,58,23500,514,26,2.95,2.93,124,1
AA,CLT,2,20,16,21,61,23500,514,26,2.95,2.93,124,0
AA,CLT,144,70,48,58,75,23500,514,26,2.95,2.93,124,1
AA,CLT,0,269,14,6,64,23500,514,26,2.95,2.93,124,0
AA,CLT,0,168,12,5,66,23500,514,26,2.95,2.93,124,0
AA,CLT,0,120,12,4,65,23500,514,26,2.95,2.93,124,0
AA,CLT,0,29,18,5,69,23500,514,26,2.95,2.93,124,0
AA,CLT,0,89,11,10,69,23500,514,26,2.95,2.93,124,0
AA,CLT,31,39,17,44,66,23500,514,26,2.95,2.93,124,0
AA,CLT,0,88,17,9,61,23500,514,26,2.95,2.93,124,0
AA,CLT,0,181,9,6,51,23500,514,26,2.95,2.93,124,1
AA,CLT,22,30,24,26,65,23500,514,26,2.95,2.93,124,0
AA,CLT,0,78,11,9,63,23500,514,26,2.95,2.93,124,0
AA,CLT,0,80,20,5,60,23500,514,26,2.95,2.93,124,1
AA,CLT,0,116,13,7,58,23500,514,26,2.95,2.93,124,1
AA,CLT,0,49,15,6,58,23500,514,26,2.95,2.93,124,0
AA,CLT,0,43,14,6,64,23500,514,26,2.95,2.93,124,1
AA,CLT,0,53,12,4,58,23500,514,26,2.95,2.93,124,0
AA,DFW,25,10,14,25,185,23500,514,26,2.95,2.93,124,1
AA,DFW,0,49,11,5,171,23500,514,26,2.95,2.93,124,1
AA,DFW,0,52,21,5,154,23500,514,26,2.95,2.93,124,0
AA,MIA,0,261,14,6,123,23500,514,26,2.95,2.93,124,0
AA,MIA,0,302,11,5,116,23500,514,26,2.95,2.93,124,1
AA,MIA,0,85,16,7,136,23500,514,26,2.95,2.93,124,1
AA,CLT,0,130,16,10,57,23500,514,26,2.95,2.93,124,0
AA,CLT,0,274,9,11,65,23500,514,26,2.95,2.93,124,1
AA,MIA,0,90,16,7,130,23500,514,26,2.95,2.93,124,0
AA,CLT,0,42,15,10,65,23500,514,26,2.95,2.93,124,0
AA,CLT,0,170,14,8,55,23500,514,26,2.95,2.93,124,1
AA,CLT,42,42,56,26,62,23500,514,26,2.95,2.93,124,0
AA,MIA,0,41,12,7,123,23500,514,26,2.95,2.93,124,1
AA,CLT,0,32,10,11,67,23500,514,26,2.95,2.93,124,0
AA,ORD,0,71,17,14,93,23500,514,26,2.95,2.93,124,1
AA,ORD,0,26,11,18,102,23500,514,26,2.95,2.93,124,1
AA,ORD,0,52,13,10,94,23500,514,26,2.95,2.93,124,0
AA,CLT,0,47,15,14,57,23500,514,26,2.95,2.93,124,0
AA,CLT,0,57,13,15,59,23500,514,26,2.95,2.93,124,1
AA,ORD,0,25,16,15,105,23500,514,26,2.95,2.93,124,0
AA,CLT,0,62,18,13,61,23500,514,26,2.95,2.93,124,0
AA,ORD,0,57,17,18,101,23500,514,26,2.95,2.93,124,0
AA,CLT,0,59,8,6,57,23500,514,26,2.95,2.93,124,0
AA,ORD,17,5,18,39,100,23500,514,26,2.95,2.93,124,1
AA,CLT,1,95,25,8,61,23500,514,26,2.95,2.93,124,0
AA,ORD,6,42,16,22,107,23500,514,26,2.95,2.93,124,0
AA,ORD,0,193,12,11,101,23500,514,26,2.95,2.93,124,1
AA,CLT,8,24,26,7,74,23500,514,26,2.95,2.93,124,1
AA,CLT,0,16,22,10,67,23500,514,26,2.95,2.93,124,1
AA,CLT,12,21,32,5,69,23500,514,26,2.95,2.93,124,0
AA,MIA,0,239,17,6,131,23500,514,26,2.95,2.93,124,1
AA,MIA,8,211,21,9,143,23500,514,26,2.95,2.93,124,1
AA,MIA,0,56,14,12,134,23500,514,26,2.95,2.93,124,1
AA,MIA,0,20,10,19,135,23500,514,26,2.95,2.93,124,1
AA,MIA,24,1,11,18,160,23500,514,26,2.95,2.93,124,0
AA,MIA,12,72,19,11,147,23500,514,26,2.95,2.93,124,1
AA,MIA,0,75,12,24,114,23500,514,26,2.95,2.93,124,1
AA,MIA,0,58,12,3,154,23500,514,26,2.95,2.93,124,1
AA,MIA,34,11,44,14,145,23500,514,26,2.95,2.93,124,0
AA,CLT,0,33,12,6,64,23500,514,26,2.95,2.93,124,0
AA,MIA,24,8,17,10,166,23500,514,26,2.95,2.93,124,1
AA,CLT,21,9,47,7,68,23500,514,26,2.95,2.93,124,1
AA,CLT,38,9,37,12,90,23500,514,26,2.95,2.93,124,1
AA,CLT,10,70,20,15,70,23500,514,26,2.95,2.93,124,1
AA,CLT,0,127,8,6,69,23500,514,26,2.95,2.93,124,0
AA,CLT,0,16,13,6,76,23500,514,26,2.95,2.93,124,0
AA,MIA,0,121,12,7,137,23500,514,26,2.95,2.93,124,0
AA,CLT,0,23,18,5,71,23500,514,26,2.95,2.93,124,1
AA,CLT,0,67,13,14,62,23500,514,26,2.95,2.93,124,0
AA,MIA,7,76,18,21,137,23500,514,26,2.95,2.93,124,1
AA,MIA,0,27,14,7,136,23500,514,26,2.95,2.93,124,1
AA,CLT,0,43,15,5,63,23500,514,26,2.95,2.93,124,1
AA,CLT,0,24,14,6,68,23500,514,26,2.95,2.93,124,0
AA,CLT,0,85,20,9,61,23500,514,26,2.95,2.93,124,1
AA,CLT,0,83,15,12,65,23500,514,26,2.95,2.93,124,1
AA,CLT,0,30,11,15,57,23500,514,26,2.95,2.93,124,1
AA,CLT,28,28,51,6,67,23500,514,26,2.95,2.93,124,0
AA,CLT,0,102,10,10,58,23500,514,26,2.95,2.93,124,1
AA,CLT,0,38,22,11,61,23500,514,26,2.95,2.93,124,1
AA,CLT,27,51,18,12,95,23500,514,26,2.95,2.93,124,0
AA,DFW,0,137,11,4,162,23500,514,26,2.95,2.93,124,0
AA,DFW,0,87,16,5,159,23500,514,26,2.95,2.93,124,1
AA,DFW,0,111,12,10,157,23500,514,26,2.95,2.93,124,1
AA,MIA,0,85,20,9,133,23500,514,26,2.95,2.93,124,1
AA,MIA,0,130,15,6,121,23500,514,26,2.95,2.93,124,0
AA,CLT,26,71,13,11,54,23500,514,26,2.95,2.93,124,0
AA,MIA,5,63,17,11,142,23500,514,26,2.95,2.93,124,0
AA,MIA,0,52,20,10,132,23500,514,26,2.95,2.93,124,1
AA,MIA,0,187,20,5,123,23500,514,26,2.95,2.93,124,1
AA,ORD,8,47,15,32,96,23500,514,26,2.95,2.93,124,1
AA,ORD,0,80,11,7,95,23500,514,26,2.95,2.93,124,1
AA,ORD,7,13,14,34,99,23500,514,26,2.95,2.93,124,1
AA,ORD,0,16,20,13,106,23500,514,26,2.95,2.93,124,1
AA,CLT,12,28,25,10,70,23500,514,26,2.95,2.93,124,0
AA,PHX,0,328,11,5,271,27000,514,34,2.61,3.13,150,1
AA,CLT,29,53,47,15,66,27000,514,34,2.61,3.13,150,0
AA,CLT,0,46,13,3,60,27000,514,34,2.61,3.13,150,0
AA,CLT,0,67,13,6,62,27000,514,34,2.61,3.13,150,1
AA,CLT,14,22,32,6,73,27000,514,34,2.61,3.13,150,1
AA,CLT,195,216,18,5,63,27000,514,34,2.61,3.13,150,1
AA,CLT,0,102,10,8,71,27000,514,34,2.61,3.13,150,0
AA,CLT,0,33,14,5,72,27000,514,34,2.61,3.13,150,0
AA,CLT,0,100,14,14,68,27000,514,34,2.61,3.13,150,1
AA,CLT,0,100,11,9,65,27000,514,34,2.61,3.13,150,1
AA,CLT,9,152,21,11,75,27000,514,34,2.61,3.13,150,0
AA,CLT,0,23,21,13,63,27000,514,34,2.61,3.13,150,1
AA,CLT,0,190,12,7,67,27000,514,34,2.61,3.13,150,0
AA,CLT,0,103,11,9,63,27000,514,34,2.61,3.13,150,0
AA,CLT,0,61,28,6,58,27000,514,34,2.61,3.13,150,0
AA,CLT,6,14,30,3,73,27000,514,34,2.61,3.13,150,1
AA,CLT,0,137,23,17,57,27000,514,34,2.61,3.13,150,0
AA,CLT,0,120,14,4,56,27000,514,34,2.61,3.13,150,0
AA,CLT,9,42,31,15,60,27000,514,34,2.61,3.13,150,1
AA,CLT,0,119,13,13,56,27000,514,34,2.61,3.13,150,0
AA,CLT,7,9,18,7,77,27000,514,34,2.61,3.13,150,1
AA,CLT,12,5,18,26,67,27000,514,34,2.61,3.13,150,1
AA,CLT,0,114,12,10,66,27000,514,34,2.61,3.13,150,1
AA,CLT,24,3,51,5,68,27000,514,34,2.61,3.13,150,0
AA,CLT,0,294,12,3,57,27000,514,34,2.61,3.13,150,1
AA,CLT,0,23,19,12,61,27000,514,34,2.61,3.13,150,1
AA,CLT,0,83,13,10,67,27000,514,34,2.61,3.13,150,0
AA,CLT,5,12,19,5,73,27000,514,34,2.61,3.13,150,1
AA,CLT,4,106,9,25,68,27000,514,34,2.61,3.13,150,1
AA,CLT,0,39,10,6,60,27000,514,34,2.61,3.13,150,1
AA,CLT,0,248,9,4,63,27000,514,34,2.61,3.13,150,1
AA,CLT,0,62,11,8,66,27000,514,34,2.61,3.13,150,1
AA,CLT,0,27,16,4,74,27000,514,34,2.61,3.13,150,1
AA,CLT,17,25,18,13,84,27000,514,34,2.61,3.13,150,0
AA,CLT,0,28,19,4,63,27000,514,34,2.61,3.13,150,1
AA,CLT,12,28,19,24,67,27000,514,34,2.61,3.13,150,1
AA,CLT,0,81,15,4,59,27000,514,34,2.61,3.13,150,1
AA,CLT,0,54,13,4,63,27000,514,34,2.61,3.13,150,0
AA,CLT,0,38,16,4,56,27000,514,34,2.61,3.13,150,0
AA,CLT,1,99,28,7,63,27000,514,34,2.61,3.13,150,0
AA,CLT,0,41,15,8,60,27000,514,34,2.61,3.13,150,0
AA,CLT,0,30,12,16,58,27000,514,34,2.61,3.13,150,1
AA,CLT,0,112,21,4,60,27000,514,34,2.61,3.13,150,1
AA,CLT,0,31,13,6,66,27000,514,34,2.61,3.13,150,1
AA,CLT,0,70,16,4,63,27000,514,34,2.61,3.13,150,0
AA,CLT,0,157,12,5,70,27000,514,34,2.61,3.13,150,0
AA,CLT,0,44,18,10,59,27000,514,34,2.61,3.13,150,0
AA,CLT,15,21,14,5,90,27000,514,34,2.61,3.13,150,1
AA,PHX,0,46,9,4,294,27000,514,34,2.61,3.13,150,0
AA,PHX,47,28,42,12,310,27000,514,34,2.61,3.13,150,1
AA,CLT,0,26,13,6,70,27000,514,34,2.61,3.13,150,1
AA,CLT,0,77,13,26,59,27000,514,34,2.61,3.13,150,0
AA,PHX,27,31,9,37,296,27000,514,34,2.61,3.13,150,1
AA,CLT,7,220,25,11,70,27000,514,34,2.61,3.13,150,1
AA,PHX,64,20,77,6,292,27000,514,34,2.61,3.13,150,0
AA,CLT,91,21,48,74,67,27000,514,34,2.61,3.13,150,0
AA,CLT,0,130,21,11,60,27000,514,34,2.61,3.13,150,0
AA,PHX,2,58,16,18,279,27000,514,34,2.61,3.13,150,1
AA,CLT,0,165,11,7,56,27000,514,34,2.61,3.13,150,1
AA,CLT,0,59,12,8,58,27000,514,34,2.61,3.13,150,1
AA,CLT,0,80,9,9,56,27000,514,34,2.61,3.13,150,0
AA,CLT,0,28,22,7,56,27000,514,34,2.61,3.13,150,0
AA,CLT,17,160,26,10,81,27000,514,34,2.61,3.13,150,0
AA,CLT,0,34,13,8,59,27000,514,34,2.61,3.13,150,0
AA,CLT,37,7,65,4,68,27000,514,34,2.61,3.13,150,1
AA,CLT,0,18,23,16,58,27000,514,34,2.61,3.13,150,0
AA,CLT,44,14,21,11,112,27000,514,34,2.61,3.13,150,1
AA,CLT,0,39,15,7,58,27000,514,34,2.61,3.13,150,1
AA,CLT,74,77,96,7,71,27000,514,34,2.61,3.13,150,1
